programCode,seriesCode
33I023,lack_health
33I023,lack_secur
33I024,lack_health
33I024,lack_secur
33I025,lack_health
33I025,lack_secur
33I026,lack_health
33I026,lack_secur
33I027,lack_health
33I027,lack_secur
33I028,lack_health
33I028,lack_secur
33I029,lack_health
33I029,lack_secur
33I030,lack_health
33I030,lack_secur
33I031,lack_health
33I031,lack_secur
33I032,benef_disabl
33I032,insur_disabl
33I032,lack_health
33I032,lack_secur
33I101,lag_educ
33I101,pisa_math
33I101,pisa_read
33I101,pisa_science
33I101,school_atten
33I102,lag_educ
33I102,pisa_math
33I102,pisa_read
33I102,pisa_science
33I102,school_atten
33I103,lag_educ
33I103,pisa_math
33I103,pisa_read
33I103,pisa_science
33I103,school_atten
33I104,lag_educ
33I104,pisa_math
33I104,pisa_read
33I104,pisa_science
33I104,school_atten
33I105,lag_educ
33I105,pisa_math
33I105,pisa_read
33I105,pisa_science
33I105,school_atten
33I106,lag_educ
33I106,pisa_math
33I106,pisa_read
33I106,pisa_science
33I106,school_atten
33I107,lag_educ
33I107,pisa_math
33I107,pisa_read
33I107,pisa_science
33I107,school_atten
33I108,lag_educ
33I108,pisa_math
33I108,pisa_read
33I108,pisa_science
33I108,school_atten
33I110,lag_educ
33I110,pisa_math
33I110,pisa_read
33I110,pisa_science
33I110,school_atten
33I111,lag_educ
33I111,pisa_math
33I111,pisa_read
33I111,pisa_science
33I111,school_atten
33I112,lag_educ
33I112,pisa_math
33I112,pisa_read
33I112,pisa_science
33I112,school_atten
33I113,lag_educ
33I113,pisa_math
33I113,pisa_read
33I113,pisa_science
33I113,school_atten
33I114,lag_educ
33I114,pisa_math
33I114,pisa_read
33I114,pisa_science
33I114,school_atten
